battery_id,framework_formula,graph_file,status,num_atoms,num_edges
BAT_02279,FeP2O7,BAT_02279.pt,success,40,1568
BAT_02280,Fe(PO4)2,BAT_02280.pt,success,11,456
BAT_02281,Fe9(PO4)8,BAT_02281.pt,success,49,1900
BAT_02283,FePO4,BAT_02283.pt,success,24,820
BAT_02284,Fe2(PO4)3,BAT_02284.pt,success,34,1460
BAT_02285,FePO4,BAT_02285.pt,success,24,656
BAT_02286,FePO4,BAT_02286.pt,success,36,1516
BAT_02287,Fe3(PO4)4,BAT_02287.pt,success,46,1732
BAT_02288,FeP2O7,BAT_02288.pt,success,20,796
BAT_02289,FePO4,BAT_02289.pt,success,12,440
BAT_02290,FeP2O7,BAT_02290.pt,success,40,1300
BAT_02291,FeP2O7,BAT_02291.pt,success,40,1560
BAT_02292,FeP2O7,BAT_02292.pt,success,40,1592
BAT_02293,Fe4(PO4)3,BAT_02293.pt,success,38,1600
BAT_02295,FePO4,BAT_02295.pt,success,24,672
BAT_02296,Fe2(PO4)3,BAT_02296.pt,success,34,1364
BAT_02297,Fe3(PO4)4,BAT_02297.pt,success,46,1536
BAT_02298,Fe(PO4)2,BAT_02298.pt,success,44,1768
BAT_02299,Fe(PO3)4,BAT_02299.pt,success,34,1068
BAT_02300,Fe(PO4)2,BAT_02300.pt,success,22,872
BAT_02302,Fe3(P2O7)2,BAT_02302.pt,success,21,856
BAT_02303,Fe5(PO4)4,BAT_02303.pt,success,25,992
BAT_02304,Fe3(PO4)4,BAT_02304.pt,success,46,1728
BAT_02305,FeP2O9,BAT_02305.pt,success,24,836
BAT_02306,Fe(PO4)2,BAT_02306.pt,success,22,796
BAT_02308,FePO4,BAT_02308.pt,success,48,1288
BAT_02309,FeP2O7,BAT_02309.pt,success,40,1444
BAT_02310,FeP2O7,BAT_02310.pt,success,40,1388
BAT_02311,FeP2O7,BAT_02311.pt,success,80,3046
BAT_02313,FePO4,BAT_02313.pt,success,24,1080
BAT_02314,FePO5,BAT_02314.pt,success,28,888
BAT_02315,FePO4,BAT_02315.pt,success,24,528
BAT_02316,FePO4,BAT_02316.pt,success,36,1440
BAT_02317,Fe(PO4)2,BAT_02317.pt,success,22,820
BAT_02318,FePO4,BAT_02318.pt,success,48,1328
BAT_02319,Fe(PO3)3,BAT_02319.pt,success,26,976
BAT_02320,Fe7(PO4)8,BAT_02320.pt,success,47,1864
BAT_02321,Fe5Sb(PO4)6,BAT_02321.pt,success,36,1434
BAT_02322,Fe3Sb(PO4)4,BAT_02322.pt,success,24,938
BAT_02324,Fe7Te(PO4)12,BAT_02324.pt,success,68,2564
BAT_02325,FeSn(PO4)2,BAT_02325.pt,success,24,924
BAT_02326,Fe3Sb(PO4)6,BAT_02326.pt,success,34,1216
BAT_02327,TiFe3(PO4)6,BAT_02327.pt,success,34,1204
BAT_02328,VFe3(PO4)6,BAT_02328.pt,success,34,1252
BAT_02329,Ti3Fe(PO4)6,BAT_02329.pt,success,34,1234
BAT_02330,VFe3(PO4)4,BAT_02330.pt,success,24,966
BAT_02331,V3Fe(PO4)6,BAT_02331.pt,success,34,1330
BAT_02332,VFe7(PO4)12,BAT_02332.pt,success,68,2566
