battery_id,framework_formula,num_steps,max_delta_volume,endpoint_delta_abs,volume_residual,abs_volume_residual,contains_F,contains_V,contains_Mn,contains_Fe,contains_Co,contains_Ni
BAT_02471,NiO2,1,0.027857544867174,0.0278575455360712,-6.688972327417718e-10,6.688972327417718e-10,False,False,False,False,False,True
BAT_02473,Ni6O7,1,0.018504891249006,0.019466271067709,-0.000961379818703,0.000961379818703,False,False,False,False,False,True
BAT_02474,Ni11O28,1,0.020507473462914,0.020507473629257,-1.6634299840334601e-10,1.6634299840334601e-10,False,False,False,False,False,True
BAT_02475,NiO2,1,0.011840580751956,0.0118405791217158,1.6302401026346836e-09,1.6302401026346836e-09,False,False,False,False,False,True
BAT_02476,Ni13O24,1,0.015848739922757,0.0158487397667771,1.5597982974679958e-10,1.5597982974679958e-10,False,False,False,False,False,True
BAT_02477,NiO2,3,0.175729628396623,0.1757296258908728,2.5057501629177632e-09,2.5057501629177632e-09,False,False,False,False,False,True
BAT_02478,NiO2,1,0.000382558034848,0.0003824112478025,1.467870454832784e-07,1.467870454832784e-07,False,False,False,False,False,True
BAT_02479,NiO2,3,0.04275194110941,0.0016371048519958,0.0411148362574141,0.0411148362574141,False,False,False,False,False,True
BAT_02480,NiO4,1,0.038733402616264,0.0387334028733401,-2.5707616591041926e-10,2.5707616591041926e-10,False,False,False,False,False,True
BAT_02481,Ni5O9,1,0.002844014948514,0.0285526179735872,-0.0257086030250732,0.0257086030250732,False,False,False,False,False,True
BAT_02482,NiO2,1,0.025063443818555,0.0250634451697533,-1.351198344184956e-09,1.351198344184956e-09,False,False,False,False,False,True
BAT_02483,NiO4,2,0.06433126126756,0.032808408947697,0.0315228523198629,0.0315228523198629,False,False,False,False,False,True
BAT_02484,NiO2,1,0.026948623162222,0.0703624014771991,-0.0434137783149771,0.0434137783149771,False,False,False,False,False,True
BAT_02485,Ni15O28,1,0.03751489559652,0.0375148961988246,-6.023046436598456e-10,6.023046436598456e-10,False,False,False,False,False,True
BAT_02486,NiO2,1,0.104783562232827,0.1047835643132185,-2.0803915395939403e-09,2.0803915395939403e-09,False,False,False,False,False,True
BAT_02488,NiO2,1,0.077110788854318,0.0771107888797554,-2.543747157357501e-11,2.543747157357501e-11,False,False,False,False,False,True
BAT_02490,NiO2,1,0.01982684424182,0.0198268450856727,-8.438527793197537e-10,8.438527793197537e-10,False,False,False,False,False,True
BAT_02491,NiO2,3,0.140411337606402,0.1404113394050769,-1.798674931219324e-09,1.798674931219324e-09,False,False,False,False,False,True
BAT_02492,NiO2,3,0.063653448764636,0.0188247877773264,0.0448286609873095,0.0448286609873095,False,False,False,False,False,True
BAT_02493,Ni3O4,1,0.01907879145217,0.0451717969830034,-0.0260930055308334,0.0260930055308334,False,False,False,False,False,True
BAT_02494,Ni2P2O9,1,0.069198922233658,0.0647203441704706,0.0044785780631873,0.0044785780631873,False,False,False,False,False,True
BAT_02495,NiPO4,1,0.122488752764701,0.1224887555786952,-2.8139942459537433e-09,2.8139942459537433e-09,False,False,False,False,False,True
BAT_02496,Ni3(PO4)4,1,0.024048569201587,0.0234838183143967,0.0005647508871902,0.0005647508871902,False,False,False,False,False,True
BAT_02497,NiPO4,2,0.035713322692224,0.0357133218114952,8.807288023882086e-10,8.807288023882086e-10,False,False,False,False,False,True
BAT_02498,Ni2(PO4)3,3,0.040658558441386,0.0398816228204724,0.0007769356209135,0.0007769356209135,False,False,False,False,False,True
BAT_02499,Ni7(PO4)6,1,0.081154979196854,0.0811549788701674,3.2668651117617737e-10,3.2668651117617737e-10,False,False,False,False,False,True
BAT_02500,Ni4(PO4)3,1,0.001722128433366,0.0017221289115359,-4.78169937673245e-10,4.78169937673245e-10,False,False,False,False,False,True
BAT_02501,Ni2(PO4)3,1,0.08194151739406,0.0757356261521541,0.0062058912419058,0.0062058912419058,False,False,False,False,False,True
BAT_02504,NiP2O7,1,0.142703206195351,0.1248821264678639,0.017821079727487,0.017821079727487,False,False,False,False,False,True
BAT_02505,Ni7(PO4)6,1,0.032915745710856,0.0318668260266981,0.0010489196841578,0.0010489196841578,False,False,False,False,False,True
BAT_02508,Ni4P4O15,1,0.021159734051582,0.0207212771057568,0.0004384569458251,0.0004384569458251,False,False,False,False,False,True
BAT_02509,Ni3P3O13,1,0.05101533066136,0.0485390941045797,0.0024762365567802,0.0024762365567802,False,False,False,False,False,True
BAT_02511,Ni3(P2O7)2,1,0.013343425260645,0.0131677235777807,0.0001757016828642,0.0001757016828642,False,False,False,False,False,True
