battery_id,framework_formula,formula_charge,formula_discharge,id_charge,id_discharge,max_delta_volume,num_steps
BAT_00312,Mn5Cr(PO4)6,Mn5Cr(PO4)6,Li4Mn5Cr(PO4)6,mp-771695,mp-759645,0.071670742412995,1
BAT_00313,Mn3Cr(PO4)4,Mn3Cr(PO4)4,Li5Mn3Cr(PO4)4,mp-774508,mp-764909,0.152453772611726,2
BAT_00314,MnCr3(PO4)4,MnCr3(PO4)4,Li4MnCr3(PO4)4,mp-775116,mp-768041,0.121907291740923,1
BAT_00315,Mn3Cr(PO4)6,Mn3Cr(PO4)6,Li6Mn3Cr(PO4)6,mp-771880,mp-771092,0.060179756868359,1
BAT_00316,Mn7Cr(PO4)12,Mn7Cr(PO4)12,Li8Mn7Cr(PO4)12,mp-778074,mp-776829,0.062513349019564,1
BAT_00317,MnCr3(PO4)6,MnCr3(PO4)6,Li6MnCr3(PO4)6,mp-774419,mp-767775,0.008521003646523,1
BAT_00318,Mn3Cr2Sn(PO4)6,Mn3Cr2Sn(PO4)6,Li4Mn3Cr2Sn(PO4)6,mp-1176479,mp-1177389,0.091984469017329,1
BAT_00319,TiMn3Cr2(PO4)6,TiMn3Cr2(PO4)6,Li4TiMn3Cr2(PO4)6,mp-776109,mp-778261,0.097218717814328,1
BAT_00321,Mn3Cr2Sb3O16,Mn3Cr2Sb3O16,Li4Mn3Cr2Sb3O16,mp-754681,mp-761171,0.125235576735047,1
BAT_00322,Ti3Mn3Cr2O16,Ti3Mn3Cr2O16,Li4Ti3Mn3Cr2O16,mp-756780,mp-771394,0.09718378086603,1
BAT_00323,Mn3Cr3(SbO8)2,Mn3Cr3(SbO8)2,Li4Mn3Cr3(SbO8)2,mp-756838,mp-774806,0.083319995164706,1
BAT_00324,Mn2Cr3Sb3O16,Mn2Cr3Sb3O16,Li4Mn2Cr3Sb3O16,mp-1176495,mp-766080,0.126429960509754,1
BAT_00325,Mn3Cr3(TeO8)2,Mn3Cr3(TeO8)2,Li4Mn3Cr3(TeO8)2,mp-772061,mp-774791,0.09190711939741,1
BAT_00326,Mn3Cr3(SnO8)2,Mn3Cr3(SnO8)2,Li4Mn3Cr3(SnO8)2,mp-771095,mp-776096,0.060770780921062,1
BAT_00327,Ti3Mn2Cr3O16,Ti3Mn2Cr3O16,Li4Ti3Mn2Cr3O16,mp-776119,mp-778223,0.081448779293755,1
BAT_00328,Mn3V2Cr3O16,Mn3V2Cr3O16,Li4Mn3V2Cr3O16,mp-773144,mp-770036,0.080844590269646,1
BAT_00329,Mn2V3Cr3O16,Li4Mn2V3Cr3O16,Li10Mn2V3Cr3O16,mp-773000,mp-760787,0.086689378257871,1
BAT_00330,Ti2Mn3Cr3O16,Ti2Mn3Cr3O16,Li4Ti2Mn3Cr3O16,mp-771173,mp-770152,0.07926709576468,1
BAT_00331,Mn3Cr3(WO8)2,Mn3Cr3(WO8)2,Li4Mn3Cr3(WO8)2,mp-755961,mp-776267,0.086251404140659,1
BAT_00332,NbCr3(PO4)6,NbCr3(PO4)6,Li6NbCr3(PO4)6,mp-780614,mp-758746,0.016252159727363,1
BAT_00334,Cr3NiO8,Li3Cr3NiO8,Li4Cr3NiO8,mp-768676,mp-754209,0.003949354393029,1
BAT_00335,Cr3NiO8,Li3Cr3NiO8,Li4Cr3NiO8,mp-756615,mp-1290930,0.010534000656814,1
